#gene	differential_expression_T_test_p_value	out_aug/HAP1_KO1_a_L000/HAP1_KO1_a_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM	out_aug/HAP1_KO1_b_L000/HAP1_KO1_b_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM	out_aug/HAP1_KO1_c_L000/HAP1_KO1_c_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM	out_aug/HAP1_P1_a_L000/HAP1_P1_a_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM	out_aug/HAP1_P1_b_L000/HAP1_P1_b_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM	out_aug/HAP1_P1_c_L000/HAP1_P1_c_L000_gene_featureCounts_only_count.csv_quantile_normalized_RPKM
AADAT	0.006070520526336222	16.90556267502578	15.3097562941675	16.90556267502578	13.389386678473848	12.573766472283713	11.850516581141726
AARS	0.0006937443220722942	58.2440643381434	58.810394758261374	59.96440144545457	33.27901746502996	32.504309785698375	29.03704380096956
AATK	0.02271698518484375	2.5554957565029683	2.643258236240186	2.0719454919445686	3.1558313097737094	3.4185648937579978	3.93619336697585
ABAT	1.9842909957276316e-05	0.36312747169342474	0.4141701884134888	0.4404845359100948	1.1351009276855188	1.1024911071781391	1.1728150315920693
ABCA1	0.013656558666489764	3.074263544209392	2.5879886642784986	2.4299433764226444	1.6758838422325957	1.4414555073263386	1.3930064239495081
ABCA2	0.007420540289286251	20.820057125551173	21.026365949171534	20.925163790521044	26.959632203306537	25.329659284238108	26.480659575043905
ABCC4	0.04173874409069258	1.9381407078801602	2.3968841902679543	2.2250074587275646	1.348539515760146	1.40592411142742	1.8741526204767582
ABCC5	0.004154850771834672	3.912619828415391	4.147532829131426	4.246375797688901	5.030149744490953	4.8976901635387025	4.816551744167403
ABCF2	0.0024686772635037833	32.61004686037847	33.05680735817235	30.78615155498606	23.109177365515333	23.249835274222065	22.427688164625376
ABHD14A-ACY1	0.009436600444179434	7.7267053375248524	7.612287431743167	7.787440007111299	6.098950080031622	5.4726181703880314	6.091975619073696
ABHD16B	0.0110176171331314	1.5268154957310136	1.263656773739883	1.7285514729382145	0.6631293012639092	0.5194181585226553	0.4926745768446336
ABHD2	0.015171346747997068	11.218085815973835	11.826183112804907	11.353841254499393	10.012794493982446	10.717303823853163	10.260895903018318
ABHD6	0.015817095791018608	4.15902144120319	4.497858228565312	3.5625686820378486	5.4929981596544275	5.857466612867884	5.336013894291533
AC004549.6	0.029882893882640857	2.278060504131402	3.244848176987579	3.7351146063228846	1.1974988066620207	0.8301349096506709	1.7087113377819334
AC005301.9	0.0002728666924269177	45.45806017132579	45.45806017132579	43.752580335970514	34.17139277550681	34.666141435292836	35.49844081414235
AC005339.2	0.03908988224512042	14.25960590551235	16.30441715289363	19.055578087818898	26.116051668934215	20.213165865969888	23.650017418133036
AC005538.3	0.010034392336472594	5.661787481173494	5.717645474713826	7.763163491986417	3.171792961938017	1.2021940966581952	2.0948758553158777
AC005682.6	0.023533095336680094	2.382633120858658	2.240616172149625	3.0725484697423693	1.5965193013842114	1.2948670728607108	1.1248889997646851
AC006042.7	0.031338890587314566	6.853517070319327	5.244214356894166	6.498593273299302	9.518035914854176	12.642502859824612	9.706561178412032
AC006538.4	0.029257339753790353	14.12208357286062	15.922307843789051	13.989532485813461	11.875722404002302	12.782170563335105	10.675935746660116
AC007009.1	0.00884582584161361	0.7682287101619826	1.1513882762240106	1.0904672152045016	0.195798950056411	0.051724222221533854	0.051471583950898736
AC007192.4	0.00964236719818573	23.249835274222065	25.336214715710508	22.039873005290573	29.76598582773077	30.776643457123797	28.956574147419435
AC007285.6	0.012338372704786917	0.7135825115415034	0.7737799909382486	0.13821768387184682	2.068849671014273	1.3942011266383831	1.8511837021616764
AC007395.3	0.03424849999967545	1.5577101728474962	1.8657499173561503	2.063267319955815	0.5404776515004738	0.05096685940774213	1.0929740052796892
AC007405.8	0.0439272310841223	2.509230027538978	1.1912023538637861	1.8569219001928545	0.370367790250207	0.08221321923445894	0.6152713454610597
AC007563.5	0.024660888558011167	40.23318040274387	44.92705877829702	35.98150713897656	56.83603964466624	52.81832979902407	48.59821683357353
AC008440.5	0.025946081387521962	10.466239305207274	10.509514150353017	13.882521870565201	18.079706900919394	18.413042944895633	17.642281653917355
AC008522.1	0.0048634157231586045	18.473640235481316	16.840093241565047	19.890653512335746	12.834743190524186	10.318735252793646	12.069428303362002
AC009065.1	0.01853582429440515	1119.7289954549526	1119.7289954549526	1090.160650782404	1312.2103666298042	1449.9992683490093	1355.3700635490222
AC009133.12	0.002877784181979913	51.54580417596072	47.25254000002858	49.59454584005141	69.17692165928266	69.96672973419098	69.75735245153133
AC009133.15	0.000699856328848373	176.17637566667972	193.81977804412517	183.23812513388816	297.46599331392457	287.48789052178034	271.75142388622083
AC009133.23	0.01644814253070081	27.164671134978068	28.515729180854848	28.27838507126272	39.88517279943955	35.12592362910671	36.537720385833204
AC009133.24	0.005327405088406781	155.11158770837645	136.70378648215083	145.93262268034402	200.47309010372328	230.73659128179904	224.91915689382162
AC009166.5	0.028242826697771787	10.117975874750394	7.4579601261104	9.19459980072075	6.358671008108661	3.8963702533310176	5.68825259889915
AC009299.4	0.036936557785752645	0.9285852489371457	1.5559881166726568	1.892339182594123	0.03026693937620428	0.030803568080605224	0.030611305082562604
AC009950.1	0.006234755646971362	2.5741599757197235	3.4215298789911	2.5972580612185485	11.786410400534459	9.944170273838099	13.015626323922477
