gene	Methylation_A_1_Test	Methylation_A_2_Test	Methylation_A_3_Test	Methylation_A_4_Test	Methylation_A_5_Test	Methylation_A_6_Test	Methylation_A_7_Test	Methylation_A_8_Test	Methylation_A_9_Test	Methylation_A_10_Test	Methylation_A_11_Ctrl	Methylation_A_12_Ctrl	Methylation_A_13_Ctrl	Methylation_A_14_Ctrl	Methylation_A_15_Ctrl	Methylation_A_16_Ctrl	Methylation_A_17_Ctrl	Methylation_A_18_Ctrl	Methylation_A_19_Ctrl	Methylation_A_20_Ctrl
Arid1a	0.7561530862764123	0.7823439770635116	0.758952508244845	0.7698258391396798	0.7497426117338984	0.769720948287346	0.732882230955056	0.7296251043089049	0.7514965201895426	0.7338532863506189	0.7886223599117105	0.8529983070846237	0.7885741576782851	0.8218302605645192	0.8091759613067595	0.8418558180210152	0.8557029309669116	0.8693442751832348	0.845426060550429	0.8252216195608033
Thrap3	0.9440078946411076	0.9447565791934174	0.9617047828634032	0.9798829216418276	0.9845821803378496	1.0257580329373464	0.9429194156914074	1.0212971018858563	0.9475315367780314	0.9980933740996732	1.0788865992755503	1.0205072299517544	1.0017010542203388	1.1051539689926302	1.0494474332333024	1.0576674827137569	1.0449053416313256	1.100779331162259	1.089149536395491	1.0448197466318785
Rer1	0.8971300772905982	0.8730518633731839	0.8930809679822813	0.9135213361335872	0.8907384349292669	0.8793092065432241	0.8923107747139031	0.8870702121477726	0.868406209972938	0.8940660382224797	0.8726233952027879	0.8179017515346253	0.8794660236824359	0.8262016123836516	0.8490324131264048	0.795978096155485	0.7911127240633863	0.8049780063677109	0.7778031868522192	0.786617629740185
Zc3h4	0.6149747229012555	0.6054301320590246	0.6236548367865029	0.610548419120808	0.6621708581080189	0.6015916304803743	0.5462717312637883	0.5536253331602928	0.5539845159747819	0.5735985502158554	0.68481039917336	0.6863378709562599	0.6546919768362301	0.6731312544175119	0.6343206708700041	0.7203210782750551	0.654876386087877	0.699787490925574	0.6579074555475513	0.6489578791478919
Crtc3	-0.6834093861216226	-0.4407091849397807	-0.5518057093429067	-0.408935196874192	-0.5933968467819803	-0.6172800981836425	-0.6142702730893805	-0.4995106129784006	-0.4544117482038857	-0.5237221255704958	-0.3676254092251064	-0.2080256342752965	-0.550115957207161	-0.3715293689759	-0.4764817794973958	-0.3280054125668397	-0.2457278543048842	-0.1617424157678288	-0.1935849284210626	-0.2821957138716047
Acaca	0.4865668587009656	0.5255563447160361	0.5462139602970655	0.4214320297293167	0.6158670516848875	0.5645977095321967	0.4405389919934864	0.5106604485472886	0.4608814665262901	0.450344633749533	0.5582353894542498	0.6263060586324809	0.5774988462947952	0.7002848747066871	0.5771928256121736	0.6098043066572745	0.617271927671223	0.7130913390249866	0.6971230657577208	0.6796783348252585
Atp5f1	-0.4088871423757765	-0.7455419611852492	-0.5560543825301356	0.8601047889685262	0.8550460204177484	-0.3873806349343077	0.8373633561540664	-0.4052649000523418	0.271595664469631	-0.3847400067115312	-0.4876909080667252	-0.6555801273110223	-0.8613652985603503	-0.500373864837018	-0.714196368141083	-0.607500837278989	-0.5506749863049638	-0.4943431181955048	-0.7723085403984796	-0.6996722266501051
Kif1c	1.0427398743476115	1.0810643037156802	1.0772591986490183	1.0367089367059292	1.0961179435770751	1.0219920538500873	1.0611080407489124	1.0527872253949928	1.0833789544419858	1.0292788904227628	1.1421419505600197	1.1543251174736398	1.1054113428263797	1.1403475156459344	1.0751306678624872	1.1441472765137837	1.0796300870400946	1.1538260756392833	1.1624396834570756	1.1075142815949754
Shh	-1.1439275725490108	-1.2801522136938197	-1.1932668369455637	-1.3541682551043377	-1.1972483027794194	-1.0949732077797183	-0.9223784722545474	-1.005146993217761	-1.200664896546836	-1.0359691062270098	0.1339288787777887	-1.0843672295857685	0.0720195928307079	-1.0532587670633229	-0.9136127978115546	-1.1357776946739186	-1.1901980436244255	0.1569413900309498	-0.884163079540033	0.2851623752137617
Prpf8	1.3042713785581894	1.29085625777748	1.3159270530899203	1.3019806730661718	1.329926432665424	1.3132517627997666	1.269764673219267	1.2902256948722877	1.2439629615195666	1.2927373062727767	1.3495059131065406	1.3654421927160014	1.331023122928802	1.3442528795459987	1.329995555295037	1.378430804900287	1.3922435676128482	1.381925758335715	1.363994056706805	1.3717836137167825
